stigmaID,plantID,slide#,cover,day,round,month,year,stigma#,dpurp_pollen,amocan_pollen,aster_pollen,dcand_pollen,unknown_hetero_pollen,date_processed,processed_by,notes
19ub_22_1_12july,19UB,22,r,12,1,July,2018,1,0,8,0,0,0,9/17/2018,AR,tip torn by reheating and repressing; pollen previously located on stigma tip located directly above and to the right
19ub_22_2_12july,19UB,22,r,12,1,July,2018,2,0,4,0,0,1,9/17/2018,AR,phlox pollen is the unknown; tip torn by reheating pollen in stigma is nearby
19ub_23_1_12july,19UB,23,l,12,1,July,2018,1,0,3,0,0,0,9/17/2018,AR,stigma curled onto self; possibly dislodged ~15 aster pollen grains nearby
19ub_23_2_12july,19UB,23,l,12,1,July,2018,2,0,4,4,0,3,9/17/2018,AR,
19ub_23_3_12july,19UB,23,l,12,1,July,2018,3,NA,NA,NA,NA,NA,9/17/2018,AR,tip torn off; lobes missing
19ub_23_1_12july,19UB,23,r,12,1,July,2018,1,3,0,5,0,0,9/17/2018,AR,tip torn from repressing; pollen adhered to stigma is nearby
19ub_23_2_12july,19UB,23,r,12,1,July,2018,2,2,12,15,0,0,9/17/2018,AR,
19ub_23_3_12july,19UB,23,r,12,1,July,2018,3,0,1,1,0,2,9/17/2018,AR,tip torn off; lobes missing;
25b_24_1_17july,25B,24,l,17,2,July,2018,1,0,2,0,0,0,9/17/2018,AR,
25b_24_2_17july,25B,24,l,17,2,July,2018,2,3,3,0,0,0,9/17/2018,AR,
25b_24_3_17july,25B,24,l,17,2,July,2018,3,0,4,0,0,0,9/17/2018,AR,
25b_24_4_17july,25B,24,l,17,2,July,2018,4,0,0,0,0,0,9/17/2018,AR,
25b_24_1_17july,25B,24,r,17,2,July,2018,1,2,16,0,0,2,9/17/2018,AR,
25b_24_2_17july,25B,24,r,17,2,July,2018,2,5,20,1,0,2,9/17/2018,AR,
16ub_25_1_17july,16UB,25,l,17,2,July,2018,1,28,0,1,0,0,9/17/2018,AR,aster==cirsium or carduus
16ub_25_2_17july,16UB,25,l,17,2,July,2018,2,35,0,3,0,0,9/17/2018,AR,
16ub_25_1_17july,16UB,25,r,17,2,July,2018,1,0,0,0,0,0,9/17/2018,AR,
16ub_25_2_17july,16UB,25,r,17,2,July,2018,2,1,0,0,0,0,9/17/2018,AR,
16ub_26_1_17july,16UB,26,l,17,2,July,2018,1,0,0,0,0,0,9/17/2018,AR,
16ub_26_2_17july,16UB,26,l,17,2,July,2018,2,1,0,0,0,0,9/17/2018,AR,
16ub_26_3_17july,16UB,26,l,17,2,July,2018,3,0,1,0,0,0,9/17/2018,AR,
20ub_26_1_17july,20UB,26,r,17,2,July,2018,1,0,0,0,0,0,9/17/2018,AR,
20ub_26_2_17july,20UB,26,r,17,2,July,2018,2,1,0,0,0,0,9/17/2018,AR,
20ub_27_1_17july,20UB,27,l,17,2,July,2018,1,12,10,0,0,0,9/17/2018,AR,
19ub_27_1_17july,19UB,27,r,17,2,July,2018,1,0,0,0,0,2,9/17/2018,AR,
19ub_27_2_17july,19UB,27,r,17,2,July,2018,2,NA,NA,NA,NA,NA,9/17/2018,AR,tip removed; large pollen load further down on style
19ub_28_1_17july,19UB,28,l,17,2,July,2018,1,3,0,1,0,4,9/17/2018,AR,
19ub_28_2_17july,19UB,28,l,17,2,July,2018,2,2,0,9,0,8,9/17/2018,AR,
19ub_28_1_17july,19UB,28,r,17,2,July,2018,1,3,0,1,0,6,9/17/2018,AR,
19ub_28_2_17july,19UB,28,r,17,2,July,2018,2,0,2,0,0,4,9/17/2018,AR,
19ub_28_3_17july,19UB,28,r,17,2,July,2018,3,NA,NA,NA,NA,NA,9/17/2018,AR,tip gone
10b_29_1_17july,10B,29,l,17,2,July,2018,1,11,3,1,0,0,9/17/2018,AR,
10b_29_2_17july,10B,29,l,17,2,July,2018,2,16,4,0,0,0,9/17/2018,AR,
10b_29_3_17july,10B,29,l,17,2,July,2018,3,14,2,0,0,0,9/17/2018,AR,
10b_29_4_17july,10B,29,l,17,2,July,2018,4,3,2,0,0,3,9/17/2018,AR,
10b_29_5_17july,10B,29,l,17,2,July,2018,5,14,4,0,0,0,9/17/2018,AR,
9ub_29_1_17july,9UB,29,r,17,2,July,2018,1,27,5,1,0,6,9/19/2018,AR,resquished for visibility; all pollen nearby originally on stigma
9ub_29_2_17july,9UB,29,r,17,2,July,2018,2,25,0,0,0,15,9/19/2018,AR,resquished for visibility; all pollen nearby originally on stigma
28ub_30_1_17july,28UB,30,l,17,2,July,2018,1,26,4,1,2,0,9/19/2018,AR,
28ub_30_2_17july,28UB,30,l,17,2,July,2018,2,0,0,0,0,0,9/19/2018,AR,
28ub_30_3_17july,28UB,30,l,17,2,July,2018,3,3,0,0,0,0,9/19/2018,AR,
28ub_30_4_17july,28UB,30,l,17,2,July,2018,4,0,0,0,0,0,9/19/2018,AR,
28ub_30_5_17july,28UB,30,l,17,2,July,2018,5,0,0,0,0,0,9/19/2018,AR,
