plantID,round,year,month,day,#bloom_flwheads,head1,head1_RF,head2,head2_RF,head3,head3_RF,head4,head4_RF,head5,head5_RF,#pre_flwheads,#post_flwheads,#stems,#stigma,observer,entered by,Column 18
13B,2,2018,July,16,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,0,AR,AR,
11B,2,2018,July,16,2,36,R,36,R,0,0,0,0,0,0,0,NA,NA,6,AR,AR,
14B,2,2018,July,16,0,0,0,0,0,0,0,0,0,0,0,4,NA,NA,0,AR,AR,
15B,2,2018,July,16,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,0,AR,AR,
18B,2,2018,July,16,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,0,AR,AR,
17B,2,2018,July,16,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,0,AR,AR,
16B,2,2018,July,16,3,7,F,12,R,12,R,0,0,0,0,5,NA,NA,5,AR,AR,
19B,2,2018,July,16,1,12,R,0,0,0,0,0,0,0,0,2,NA,NA,2,AR,AR,
20B,2,2018,July,16,3,24,R,24,R,24,R,0,0,0,0,8,NA,NA,8,AR,AR,
22B,1,2018,July,11,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,AR,AR,
30B,2,2018,July,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GP,AK,
29B,2,2018,July,16,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,GP,AK,
28B,2,2018,July,16,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,GP,AK,
27B,2,2018,July,16,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,GP,AK,
26B,2,2018,July,16,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,GP,AK,
25B,2,2018,July,16,1,24,R,0,0,0,0,0,0,0,0,NA,NA,NA,NA,GP,AK,
24B,2,2018,July,16,2,36,R,24,R,0,0,0,0,0,0,NA,NA,NA,7,GP,AK,4 pulled from stigma opened in PM
23B,2,2018,July,16,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,GP,AK,
22B,2,2018,July,16,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,GP,AK,
21B,2,2018,July,16,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,GP,AK,
30UB,2,2018,July,16,1,36,R,0,0,0,0,0,0,0,0,NA,NA,NA,3,GP,AK,
29UB,2,2018,July,16,6,8,F,36,R,6,F,30,R,24,R,NA,NA,NA,8,GP,AK,
28UB,2,2018,July,16,5,36,R,36,R,36,R,36,R,3,F,NA,NA,NA,8,GP,AK,
27UB,2,2018,July,16,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,GP,AK,
26UB,2,2018,July,16,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,GP,AK,
23UB,2,2018,July,16,9,24,R,30,R,6,F,24,R,30,R,NA,NA,NA,8,GP,AK,
24UB,2,2018,July,16,1,42,R,0,0,0,0,0,0,0,0,NA,NA,NA,4,GP,AK,
25UB,2,2018,July,16,1,24,R,0,0,0,0,0,0,0,0,NA,NA,NA,2,GP,AK,
22UB,2,2018,July,16,1,12,R,0,0,0,0,0,0,0,0,NA,NA,NA,3,GP,AK,
21UB,2,2018,July,16,3,1,F,36,R,18,R,0,0,0,0,NA,NA,NA,3,GP,AK,
20UB,2,2018,July,16,6,2,F,2,F,2,F,30,R,24,R,NA,NA,NA,4,GP,AK,
19UB,2,2018,July,16,3,15,F,36,R,42,R,0,0,0,0,NA,NA,NA,7,GP,AK,
18UB,2,2018,July,16,2,13,F,24,R,0,0,0,0,0,0,NA,NA,NA,2,GP,AK,
17UB,2,2018,July,16,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,GP,AK,
16UB,2,2018,July,16,3,2,F,18,R,14,F,0,0,0,0,NA,NA,NA,6,GP,AK,
15UB,2,2018,July,16,2,48,R,48,R,0,0,0,0,0,0,NA,NA,NA,6,GP,AK,
14UB,2,2018,July,16,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,GP,AK,
13UB,2,2018,July,16,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,GP,AK,
12UB,2,2018,July,16,2,18,R,24,R,0,0,0,0,0,0,NA,NA,NA,2,GP,AK,
11UB,2,2018,July,16,1,7,F,0,0,0,0,0,0,0,0,NA,NA,NA,1,GP,AK,
29B,1,2018,July,12,0,0,0,0,0,0,0,0,0,0,0,3,NA,NA,NA,AR,AK,
30B,1,2018,July,12,0,0,0,0,0,0,0,0,0,0,0,5,NA,NA,NA,AR,AK,
28B,1,2018,July,12,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,AR,AK,
27B,1,2018,July,12,0,0,0,0,0,0,0,0,0,0,0,4,NA,NA,NA,AR,AK,
26B,1,2018,July,12,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,AR,AK,
23B,1,2018,July,12,0,0,0,0,0,0,0,0,0,0,0,8,NA,NA,NA,AR,AK,
24B,1,2018,July,12,1,12,R,0,0,0,0,0,0,0,0,2,NA,NA,NA,AR,AK,
25B,1,2018,July,12,0,0,0,0,0,0,0,0,0,0,0,3,NA,NA,NA,AR,AK,
22B,1,2018,July,12,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,AR,AK,
21B,1,2018,July,12,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,AR,AK,
30UB,1,2018,July,12,1,24,R,0,0,0,0,0,0,0,0,NA,NA,NA,1,AR,AK,"note* data sheet reads ""1/2 of 2 rows"" and ""stigma withered"""
28UB,1,2018,July,12,4,24,R,36,R,48,R,48,R,0,0,NA,NA,NA,12,AR,AK,
26UB,1,2018,July,12,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,AR,AK,
25UB,1,2018,July,12,0,0,0,0,0,0,0,0,0,0,0,10,NA,NA,NA,AR,AK,
27UB,1,2018,July,12,0,0,0,0,0,0,0,0,0,0,0,6,NA,NA,NA,AR,AK,
